X,Y,fid,CLASSID,GZ_MET_TY,TY_CODE,TY_NAME,icon_url
8.91153590564422,44.4138284804738,"1",GE_a_000000001,"03","03",stazione/fermata,./0.png
8.91155144992367,44.4137988641167,"2",GE_a_000000002,"03","03",stazione/fermata,./0.png
8.9316489477966,44.4040804111235,"3",GE_a_000000003,"03","03",stazione/fermata,./0.png
8.93163077931749,44.4041097316012,"4",GE_a_000000004,"03","03",stazione/fermata,./0.png
8.92861477872168,44.4085801955806,"5",GE_a_000000005,"03","03",stazione/fermata,./0.png
8.92855994844376,44.4085873095738,"6",GE_a_000000006,"03","03",stazione/fermata,./0.png
8.92689432526744,44.4129836124216,"7",GE_a_000000007,"03","03",stazione/fermata,./0.png
8.92686385715674,44.4129608967168,"8",GE_a_000000008,"03","03",stazione/fermata,./0.png
8.91905708104401,44.4164006001652,"9",GE_a_000000009,"03","03",stazione/fermata,./0.png
8.9190633053446,44.4164322495959,"10",GE_a_000000010,"03","03",stazione/fermata,./0.png
8.93426948390254,44.4075235473762,"11",GE_a_000000011,"03","03",stazione/fermata,./0.png
8.93423215739494,44.4075466362442,"12",GE_a_000000012,"03","03",stazione/fermata,./0.png
8.89755394577704,44.4267579795624,"13",GE_a_000000013,"03","03",stazione/fermata,./0.png
8.89750733594698,44.4267508795263,"14",GE_a_000000014,"03","03",stazione/fermata,./0.png
8.89681174254396,44.427345754682,"15",GZMET_01,"02","02",diramazione/confluenza,./0.png
8.91153590564422,44.4138284804738,"16",GZMET_02,"03","03",stazione/fermata,./0.png
8.89679192205858,44.4273289014762,"17",GZMET_03,"02","02",diramazione/confluenza,./0.png
8.91155144992367,44.4137988641167,"18",GZMET_04,"03","03",stazione/fermata,./0.png
8.93430184741583,44.4077491867856,"19",GZMET_05,"03","03",stazione/fermata,./0.png
8.94791178258953,44.4076801928506,"20",GZMET_06,"02","02",diramazione/confluenza,./0.png
8.93434071380777,44.4077305642016,"21",GZMET_07,"03","03",stazione/fermata,./0.png
8.94787363847943,44.4076682016398,"22",GZMET_08,"02","02",diramazione/confluenza,./0.png
8.9316489477966,44.4040804111235,"23",GZMET_09,"03","03",stazione/fermata,./0.png
8.93163077931749,44.4041097316012,"24",GZMET_10,"03","03",stazione/fermata,./0.png
8.92861477872168,44.4085801955806,"25",GZMET_11,"03","03",stazione/fermata,./0.png
8.92855994844376,44.4085873095738,"26",GZMET_12,"03","03",stazione/fermata,./0.png
8.92689432526744,44.4129836124216,"27",GZMET_13,"03","03",stazione/fermata,./0.png
8.92686385715674,44.4129608967168,"28",GZMET_14,"03","03",stazione/fermata,./0.png
8.91905708104401,44.4164006001652,"29",GZMET_15,"03","03",stazione/fermata,./0.png
8.9190633053446,44.4164322495959,"30",GZMET_16,"03","03",stazione/fermata,./0.png
